No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
15155,"ABALONE,MIXED SPECIES,RAW",ABALONE,105,6.01,17.1,0.76,0.107,0.104,0.149
15156,"ABALONE,MXD SP,CKD,FRIED",ABALONE,189,11.05,19.63,6.78,2.741,1.676,1.646
9002,"ACEROLA JUICE,RAW",ACEROLA JUICE,23,4.8,0.4,0.3,0.082,0.09,0.068
9001,"ACEROLA,(WEST INDIAN CHERRY),RAW",ACEROLA,32,7.69,0.4,0.3,0.082,0.09,0.068
12060,"ACORN FLOUR,FULL FAT",ACORN FLOUR,501,54.65,7.49,30.17,19.11,5.813,3.923
35182,ACORN STEW (APACHE),ACORN STEW (APACHE),95,9.22,6.81,3.47,1.68,0.297,1.28
12059,"ACORNS,DRIED",ACORNS,509,53.66,8.1,31.41,19.896,6.052,4.084
12058,"ACORNS,RAW",ACORNS,387,40.75,6.15,23.86,15.109,4.596,3.102
35225,"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",AGUTUK,470,10.5,9.0,43.5,15.6,17.3,8.6
35001,"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",AGUTUK,353,13.4,3.4,31.8,14.4,8.4,7.7
35003,"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",AGUTUK,258,0.9,21.7,18.6,8.7,3.6,5.1
14533,"ALCOHOLIC BEV DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 100PROOF",ALCOHOLIC BEV DISTILLED,295,0.0,0.0,0.0,0.0,0.0,0.0
14006,"ALCOHOLIC BEV,BEER,LT",ALCOHOLIC BEV,29,1.64,0.24,0.0,0.0,0.0,0.0
14248,"ALCOHOLIC BEV,BEER,LT,HIGHER ALCOHOL",ALCOHOLIC BEV,46,0.77,0.25,0.0,0.0,0.0,0.0
14013,"ALCOHOLIC BEV,BEER,LT,LO CARB",ALCOHOLIC BEV,27,0.73,0.17,0.0,0.0,0.0,0.0
14003,"ALCOHOLIC BEV,BEER,REG,ALL",ALCOHOLIC BEV,43,3.55,0.46,0.0,0.0,0.0,0.0
14034,"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",ALCOHOLIC BEV,371,41.6,0.0,0.3,0.015,0.167,0.014
14010,"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",ALCOHOLIC BEV,186,6.94,0.06,0.06,0.006,0.016,0.006
14037,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",ALCOHOLIC BEV,231,0.0,0.0,0.0,0.0,0.0,0.0
14550,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",ALCOHOLIC BEV,250,0.1,0.0,0.0,0.0,0.0,0.0
14551,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",ALCOHOLIC BEV,263,0.0,0.0,0.0,0.0,0.0,0.0
14532,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",ALCOHOLIC BEV,275,0.0,0.0,0.0,0.0,0.0,0.0
14049,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",ALCOHOLIC BEV,263,0.0,0.0,0.0,0.0,0.0,0.0
14050,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",ALCOHOLIC BEV,231,0.0,0.0,0.0,0.0,0.0,0.0
14051,"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",ALCOHOLIC BEV,231,0.0,0.0,0.0,0.0,0.0,0.0
14052,"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",ALCOHOLIC BEV,250,0.1,0.0,0.0,0.0,0.0,0.0
14415,"ALCOHOLIC BEV,LIQUEUR,COFFEE W/ CRM,34 PROOF",ALCOHOLIC BEV,327,20.9,2.8,15.7,4.458,0.669,9.664
